iter	Passed	Remaining
0	0	436
1	0	395
2	1	485
3	1	484
4	2	464
5	2	452
6	3	432
7	3	411
8	3	392
9	3	381
10	4	372
11	4	368
12	4	365
13	5	363
14	5	361
15	5	357
16	6	354
17	6	351
18	6	347
19	7	345
20	7	343
21	7	343
22	8	343
23	8	342
24	8	343
25	9	342
26	9	340
27	9	340
28	10	342
29	10	343
30	10	342
31	11	343
32	11	341
33	11	339
34	12	337
35	12	337
36	13	342
37	13	342
38	13	340
39	14	339
40	14	338
41	14	336
42	15	334
43	15	333
44	15	332
45	15	331
46	16	332
47	16	333
48	17	333
49	17	334
50	17	333
51	18	332
52	18	331
53	18	330
54	19	331
55	19	332
56	20	333
57	20	333
58	20	334
59	21	334
60	21	332
61	21	332
62	22	330
63	22	330
64	22	329
65	23	328
66	23	327
67	23	326
68	24	325
69	24	324
70	24	322
71	24	322
72	25	322
73	25	321
74	25	320
75	26	320
76	26	320
77	27	319
78	27	318
79	27	317
80	27	316
81	28	315
82	28	312
83	28	313
84	29	313
85	29	314
86	30	315
87	30	314
88	30	313
89	30	313
90	31	312
91	31	314
92	32	313
93	32	312
94	32	311
95	33	312
96	33	311
97	33	311
98	34	310
99	34	309
100	34	309
101	35	308
102	35	307
103	35	306
104	35	306
105	36	305
106	36	305
107	36	304
108	37	304
109	37	304
110	38	305
111	38	309
112	39	309
113	39	309
114	40	309
115	40	309
116	40	307
117	41	306
118	41	306
119	41	306
120	42	306
121	42	305
122	42	305
123	43	304
124	43	303
125	43	303
126	43	301
127	44	301
128	44	300
129	44	300
130	45	299
131	45	298
132	45	299
133	46	298
134	46	298
135	46	297
136	47	296
137	47	298
138	48	299
139	48	298
140	49	298
141	49	297
142	49	297
143	49	296
144	50	296
145	50	295
146	50	294
147	51	293
148	51	293
149	51	292
150	51	291
151	52	290
152	52	290
153	52	289
154	52	288
155	53	288
156	53	287
157	53	286
158	54	286
159	54	285
160	54	284
161	55	285
162	55	285
163	55	284
164	56	284
165	56	284
166	56	284
167	57	284
168	57	284
169	58	284
170	58	284
171	59	284
172	59	284
173	59	283
174	60	284
175	60	283
176	60	283
177	61	282
178	61	282
179	62	282
180	62	282
181	62	281
182	62	280
183	63	280
184	63	279
185	63	279
186	64	279
187	64	278
188	64	278
189	65	280
190	66	281
191	67	281
192	67	281
193	67	281
194	68	281
195	68	280
196	68	280
197	68	279
198	69	278
199	69	278
200	69	277
201	70	277
202	70	276
203	70	276
204	71	275
205	71	275
206	71	274
207	72	274
208	72	273
209	72	273
210	73	273
211	73	272
212	73	272
213	74	271
214	74	271
215	74	270
216	74	270
217	75	269
218	75	270
219	76	270
220	76	270
221	77	269
222	77	269
223	77	268
224	77	268
225	78	268
226	78	268
227	79	268
228	79	268
229	87	294
230	88	294
231	88	294
232	91	299
233	91	299
234	91	298
235	92	298
236	92	297
237	92	297
238	93	296
239	93	295
240	93	295
241	94	294
242	94	293
243	95	294
244	95	294
245	96	294
246	96	293
247	96	293
248	97	292
249	97	292
250	97	291
251	97	290
252	98	290
253	98	289
254	98	289
255	99	288
256	99	288
257	100	287
258	100	287
259	100	286
260	101	286
261	101	285
262	101	284
263	102	284
264	102	284
265	102	283
266	103	282
267	103	282
268	103	281
269	103	281
270	104	280
271	104	280
272	105	280
273	105	279
274	105	278
275	106	278
276	106	277
277	106	276
278	107	276
279	107	276
280	107	275
281	107	274
282	108	274
283	108	273
284	108	273
285	109	272
286	109	271
287	109	271
288	110	270
289	110	270
290	110	269
291	111	269
292	111	268
293	111	268
294	111	267
295	112	267
296	112	266
297	113	266
298	113	266
299	114	266
300	114	265
301	114	265
302	115	265
303	115	264
304	115	264
305	116	263
306	116	262
307	116	262
308	117	261
309	117	261
310	117	260
311	117	260
312	118	259
313	118	258
314	118	258
315	119	258
316	119	257
317	119	256
318	120	256
319	120	255
320	120	255
321	121	254
322	121	254
323	121	253
324	122	253
325	122	252
326	122	252
327	123	252
328	123	251
329	124	251
330	124	251
331	124	251
332	125	250
333	125	250
334	126	250
335	126	249
336	126	249
337	126	248
338	127	248
339	127	247
340	127	246
341	128	246
342	128	245
343	128	245
344	129	244
345	129	244
346	129	244
347	129	243
348	130	242
349	130	242
350	130	242
351	131	241
352	131	241
353	132	241
354	132	240
355	133	240
356	133	240
357	134	240
358	134	239
359	134	239
360	135	239
361	135	238
362	135	238
363	136	237
364	136	237
365	136	236
366	137	236
367	137	235
368	137	235
369	137	234
370	138	234
371	138	233
372	138	233
373	139	232
374	139	232
375	139	231
376	140	231
377	140	230
378	140	230
379	140	229
380	141	229
381	141	229
382	142	229
383	142	229
384	143	228
385	143	228
386	143	227
387	144	227
388	144	226
389	144	226
390	145	225
391	145	225
392	145	224
393	145	224
394	146	223
395	146	223
396	146	222
397	147	222
398	147	221
399	147	221
400	147	220
401	148	220
402	148	219
403	148	219
404	149	218
405	149	218
406	149	218
407	149	217
408	150	217
409	150	216
410	150	216
411	151	216
412	151	215
413	152	215
414	152	214
415	152	214
416	153	214
417	153	214
418	154	213
419	154	213
420	154	212
421	155	212
422	155	211
423	155	211
424	156	211
425	156	210
426	156	210
427	156	209
428	157	209
429	157	208
430	157	208
431	158	208
432	158	207
433	158	207
434	159	206
435	159	206
436	159	205
437	159	205
438	160	205
439	160	204
440	161	204
441	162	204
442	162	204
443	162	203
444	163	203
445	163	202
446	163	202
447	163	202
448	164	201
449	164	201
450	164	200
451	165	200
452	165	199
453	165	199
454	166	198
455	166	198
456	166	198
457	167	197
458	167	197
459	167	196
460	168	196
461	168	196
462	168	195
463	168	195
464	169	194
465	169	194
466	170	194
467	170	193
468	170	193
469	171	193
470	171	192
471	171	192
472	172	191
473	172	191
474	172	191
475	173	190
476	173	190
477	173	189
478	174	189
479	174	188
480	174	188
481	174	188
482	175	187
483	175	187
484	175	186
485	176	186
486	176	185
487	176	185
488	177	185
489	177	184
490	177	184
491	178	183
492	178	183
493	178	183
494	179	182
495	179	182
496	179	182
497	180	181
498	180	181
499	180	180
500	181	180
501	181	180
502	181	179
503	182	179
504	182	178
505	182	178
506	183	178
507	183	177
508	183	177
509	184	176
510	184	176
511	184	176
512	185	175
513	185	175
514	185	174
515	185	174
516	186	174
517	186	173
518	186	173
519	187	172
520	187	172
521	187	171
522	188	171
523	188	171
524	189	171
525	189	171
